Complete Meal,Ingredients,Quantities
"Red Rice with Pol Sambol, Batu Moju, Shrimp Cutlets","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Eggplant, Shrimp,  Potatoes,  flour","40, 50.0, 5.0, 10.0, 3.0, 18.0, 70.0, 30.0, 50.0, 20.0"
"Red Rice with Ash Plantain Curry, Pumpkin Leaves Curry, Mustard Greens Curry","Red rice, Ash plantain,  Coconut milk,  Chillies, Pumpkin leaves,  Coconut milk,  Chillies, Mustard greens,  Chillies","40, 50.0, 25.0, 10.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Green Pea Curry, Beef Curry","Red rice, Fish,  Goraka,  Spices, Green pea,  Coconut milk,  Chillies, Beef","40, 80.0, 10.0, 10.0, 50.0, 50.0, 20.0, 60.0"
"Red Rice with Drumstick Curry, Fish Curry, Maalu Badun","Red rice, Drumstick,  Coconut milk,  Spices, Fish, curry leaves, Fish,  Oil","40, 50.0, 40.0, 8.0, 50.0, 2.0, 90.0, 15.0"
"Red Rice with Ala Badun, Kohila Curry, Kochchi Sambol","Red rice, Potato,  Oil, onion, chilli, Kohila,  Coconut milk,  Chillies,  Coconut","40, 40.0, 10.0, 30.0, 5.0, 50.0, 25.0, 20.0, 30.0"
"Red Rice with Carrot Curry, Tomato Curry, Leeks Curry","Red rice, Carrot,  Coconut milk,  Spices, Tomato,  Chillies, Leeks,  Coconut milk,  Chillies","40, 50.0, 45.0, 5.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Ash Plantain Curry, Mustard Greens Curry, Mint Sambol","Red rice, Ash plantain,  Coconut milk,  Chillies, Mustard greens,  Coconut milk,  Chillies, Mint,  pepper","40, 50.0, 25.0, 10.0, 50.0, 55.0, 10.0, 60.0, 5.0"
"Red Rice with Tomato Curry, Mint Sambol, Indian Fish Curry","Red rice, Tomato,  Coconut milk,  Chillies, Mint,  Coconut,  pepper, Fish,  chillies","40, 50.0, 55.0, 10.0, 60.0, 30.0, 5.0, 60.0, 10.0"
"Red Rice with Elumas Curry, Capsicum Curry, Kochchi Sambol","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Capsicum,  Coconut milk,  Chillies","40, 50.0, 50.0, 5.0, 2.0, 50.0, 25.0, 20.0"
"Red Rice with Green Banana Curry, Pumpkin Leaves Curry, Tropical Salad","Red rice, Green banana,  Coconut milk,  Chillies, Pumpkin leaves, Mango,  Apple,  Carrot,  Pineapple,  Cucumber","40, 50.0, 50.0, 20.0, 50.0, 30.0, 20.0, 30.0, 20.0, 30.0"
"Red Rice with Bitter Gourd Curry, Sesame Seed Sambol, Vegetable Balls","Red rice, Bitter gourd,  Coconut milk,  Spices, Sesame seed,  Chili,  Onion, Carrot,  leeks,  Jackfruit,  Potatoes,  pepper","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 10.0"
"Red Rice with Octopus Curry, Radish Sambol, Sinhala Achcharu","Red rice, Octopus,  Coconut milk,  Chillies, Radish,  Coconut,  pepper, Carrot,  onion,  Vinegar","40, 50.0, 25.0, 25.0, 60.0, 30.0, 5.0, 30.0, 35.0, 10.0"
"Red Rice with Chicken Curry, Capsicum Curry, Maalu Badun","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Capsicum,  Chillies, Fish,  Oil","40, 50.0, 45.0, 5.0, 3.0, 50.0, 10.0, 90.0, 15.0"
"Red Rice with Green Gram Curry, Pumpkin Leaves Curry, Ulundu Wade","Red rice, Green gram,  Coconut milk,  Spices, Pumpkin leaves,  Coconut milk,  Chillies, Urad,  flour,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 40.0, 20.0"
"Red Rice with Bathala Curry, Snake Gourd Curry, Mango Chutney","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Snake gourd, Mango,  Vinegar,  sugar","40, 50.0, 45.0, 15.0, 3.0, 50.0, 40.0, 10.0, 10.0"
"Red Rice with Chicken Curry, Green Gram Curry, Fish Cutlets","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Green gram,  Coconut milk, Fish,  Potatoes,  Chillies","40, 50.0, 20.0, 15.0, 3.0, 50.0, 25.0, 30.0, 50.0, 10.0"
"Red Rice with Parippu, Eggplant Curry, Jaffna Crab Curry","Red rice, Dhal,  Coconut milk, Termeric powder, Eggplant,  Spices, Crab,  Coconut milk,  Chillies","40, 10.0, 20.0, 5.0, 30.0, 2.0, 50.0, 25.0, 10.0"
"Red Rice with Bean Curry, Pineapple Curry, Tomato Curry","Red rice, Beans,  Coconut milk,  Spices, Pineapple, Tomato,  Chillies","40, 30.0, 90.0, 40.0, 50.0, 50.0, 10.0"
"Red Rice with Pol Sambol, Elumas Curry, Thalapath Fish Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Goat,  Spices, curry leaves, Thalapath fish","40, 95.0, 5.0, 10.0, 3.0, 3.0, 50.0, 15.0, 2.0, 50.0"
"Red Rice with Mustard Greens Curry, Beef Curry, Radish Sambol","Red rice, Mustard greens,  Coconut milk,  Chillies, Beef,  Chillies, Radish,  Coconut,  pepper","40, 50.0, 50.0, 10.0, 60.0, 10.0, 60.0, 30.0, 5.0"
"Red Rice with Papaya Curry, Chickpea Curry, Ulundu Wade","Red rice, Papaya,  Coconut milk,  Spices, Chickpea, Urad,  flour,  Oil","40, 50.0, 50.0, 20.0, 50.0, 30.0, 40.0, 20.0"
"Red Rice with Carrot Sambol, Polos Mallum, Sinhala Achcharu","Red rice, Carrot,  Coconut,  pepper, Jackfruit,  Coconut,  oil,  onion,  green chillies,  Vinegar","40, 80.0, 10.0, 5.0, 50.0, 30.0, 5.0, 35.0, 15.0, 10.0"
"Red Rice with Potato Curry, Prawn Curry, Polos Mallum","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Prawn,  Coconut milk,  Chillies, Jackfruit,  oil","40, 20.0, 60.0, 10.0, 5.0, 2.0, 50.0, 25.0, 10.0, 50.0, 5.0"
"Red Rice with Brinjal Moju, Leeks Curry, Vegetable Cutlets","Red rice, Eggplant,  Vinegar,  Spices, Leeks,  Coconut milk,  Chillies, Carrot,  Potatoes,  Chillies","40, 30.0, 40.0, 30.0, 50.0, 25.0, 10.0, 30.0, 40.0, 10.0"
"Red Rice with Drumstick Curry, Green Pea Curry, Jaffna Crab Curry","Red rice, Drumstick,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Crab","40, 50.0, 20.0, 5.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Pineapple Curry, Tomato Curry, Soya Meat Curry","Red rice, Pineapple,  Coconut milk,  Spices, Tomato,  Chillies, Soya meat","40, 50.0, 75.0, 10.0, 50.0, 20.0, 50.0"
"Red Rice with potatoe cheese Balls, Batu Moju, Jackfruit Mallum","Red rice, cheese,  Potatoes,  pepper, Eggplant,  garlic, Jackfruit,  Coconut","40, 30.0, 60.0, 10.0, 70.0, 15.0, 60.0, 30.0"
"Red Rice with Green Gram Curry, Leeks Curry, Cauliflower Pickle","Red rice, Green gram,  Coconut milk,  Spices, Leeks,  Coconut milk,  Chillies, Cauliflower,  Oil,  Garlic","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Pineapple Curry, Ala Badun, potatoe cheese Balls","Red rice, Pineapple,  Coconut milk,  Spices, Potato,  Oil, onion, cheese,  Potatoes,  pepper","40, 50.0, 25.0, 15.0, 40.0, 10.0, 30.0, 30.0, 60.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Dhal Vade, Spicy Crab","Red rice, Fish,  Goraka,  Spices, Lentils,  chillie,  Oil, Crab","40, 80.0, 10.0, 10.0, 50.0, 25.0, 50.0, 70.0"
"Red Rice with Devilled Fish, Papaya Curry, Pineapple Pickle","Red rice, Fish,  Chili,  Curry leaves, Onion, Papaya,  Coconut milk,  Spices, Pineapple,  pepper","40, 50.0, 5.0, 5.0, 20.0, 50.0, 25.0, 10.0, 50.0, 10.0"
"Red Rice with Fish Ambul Thiyal, Fish Curry, Soya Meat Curry","Red rice, Fish,  Goraka,  Spices, Fish,  Coconut milk, curry leaves, Soya meat,  Chillies","40, 80.0, 10.0, 13.0, 50.0, 45.0, 2.0, 50.0, 10.0"
"Red Rice with Bitter Gourd Salad, Leeks Curry, Fenugreek Curry","Red rice, Bitter gourd,  Coconut, Leeks,  Coconut milk,  Chillies, Fenugreek","40, 50.0, 35.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Devilled Fish, potatoe cheese Balls, Murukku","Red rice, Fish,  Chili,  Curry leaves, Onion, cheese,  Potatoes,  pepper, flour,  Chillies","40, 50.0, 5.0, 5.0, 20.0, 30.0, 60.0, 10.0, 50.0, 20.0"
"Red Rice with Malu Mirisata, Prawn Curry, Jaffna Crab Curry","Red rice, Fish,  Chili,  curry leaves, Prawn,  Coconut milk, Crab","40, 50.0, 30.0, 3.0, 50.0, 50.0, 50.0"
"Red Rice with Bitter Leaf Curry, Octopus Curry, Coconut Sambol","Red rice, Bitter leaves,  Coconut milk,  Chillies, Octopus,  Coconut milk,  Chili,  Onion","40, 50.0, 75.0, 20.0, 50.0, 25.0, 15.0, 20.0"
"Red Rice with Potato Curry, Bitter Gourd Curry, Pineapple Pickle","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Bitter gourd, Pineapple,  pepper","40, 20.0, 55.0, 20.0, 5.0, 2.0, 50.0, 50.0, 10.0"
"Red Rice with Jackfruit Curry, Bottle Gourd Curry, Seeni Sambol","Red rice, Jackfruit,  Coconut milk, curry leaves, Bottle gourd,  Chillies, Onion,  Sugar","40, 15.0, 35.0, 5.0, 50.0, 15.0, 50.0, 5.0"
"Red Rice with Soya Meat Curry, Fish Patties, Coriander Sambol","Red rice, Soya meat,  Coconut milk,  Chillies, Fish,  Flour,  Oil, Coriander,  pepper","40, 50.0, 55.0, 10.0, 40.0, 30.0, 30.0, 60.0, 5.0"
"Red Rice with Malu Mirisata, Ash Plantain Curry, Dry Fish Curry","Red rice, Fish,  Chili,  curry leaves, Ash plantain,  Coconut milk,  Chillies, Dry fish,  Coconut milk,  Chillies","40, 50.0, 10.0, 3.0, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Thalapath Fish Curry, Sweet Corn Curry, Spicy Crab","Red rice, Thalapath fish,  Coconut milk,  Spices, Sweet corn,  Coconut milk,  Chillies, Crab,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 20.0, 70.0, 20.0"
"Red Rice with Papaya Curry, Mustard Greens Curry, Ulundu Wade","Red rice, Papaya,  Coconut milk,  Spices, Mustard greens,  Coconut milk,  Chillies, Urad,  flour,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 40.0, 20.0"
"Red Rice with Dhal Curry, Bathala Curry, Green Pea Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Sweet potato, curry leaves, Green pea,  Coconut milk,  Chillies","40, 80.0, 30.0, 10.0, 5.0, 50.0, 3.0, 50.0, 25.0, 10.0"
"Red Rice with Bean Curry, Carrot curry, Sinhala Achcharu","Red rice, Beans,  Coconut milk,  Spices, Carrot,  chillies, curry leaves,  onion,  Vinegar","40, 30.0, 60.0, 30.0, 80.0, 25.0, 5.0, 35.0, 10.0"
"Red Rice with Bitter Leaf Curry, Radish Sambol, Kappa Masala","Red rice, Bitter leaves,  Coconut milk,  Chillies, Radish,  pepper, Cassava","40, 50.0, 80.0, 10.0, 60.0, 5.0, 60.0"
"Red Rice with Ginger Chicken, Vegetable Cutlets, Polos Mallum","Red rice, Chicken,  Ginger,  Chillies, Carrot,  Potatoes,  Chillies, Jackfruit,  Coconut,  oil","40, 50.0, 25.0, 10.0, 30.0, 40.0, 10.0, 50.0, 30.0, 5.0"
"Red Rice with Snake Gourd Curry, Papaya Curry, Indian Fish Curry","Red rice, Snake gourd,  Coconut milk,  Spices, Papaya,  Spices, Fish,  chillies","40, 50.0, 80.0, 10.0, 50.0, 10.0, 60.0, 10.0"
"Red Rice with Murunga Curry, Jaffna Crab Curry, Carrot Sambol","Red rice, Drumstick,  Coconut milk,  Spices, Crab,  Coconut milk,  Chillies, Carrot,  pepper","40, 50.0, 25.0, 10.0, 50.0, 35.0, 10.0, 50.0, 5.0"
"Red Rice with Carrot Curry, Tomato Curry, Collard Greens Curry","Red rice, Carrot,  Coconut milk,  Spices, Tomato,  Chillies, Collard greens,  Coconut milk,  Chillies","40, 50.0, 45.0, 5.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Bitter Gourd Salad, Ala Badun, Maalu Badun","Red rice, Bitter gourd,  Coconut, Potato,  Oil, onion, chilli, Fish","40, 50.0, 35.0, 40.0, 25.0, 30.0, 5.0, 90.0"
"Red Rice with Cauliflower Pickle, Polos Ambula, Jackfruit Mallum","Red rice, Cauliflower,  Oil,  Garlic, Jackfruit,  coconut milk,  chillies,  curry leaves","40, 100.0, 50.0, 20.0, 140.0, 60.0, 10.0, 10.0"
"Red Rice with Sesame Seed Sambol, Coriander Sambol, Devilled Beef","Red rice, Sesame seed,  Chili,  Onion, Coriander,  Coconut,  pepper, Beef,  Oil","40, 50.0, 30.0, 10.0, 60.0, 30.0, 5.0, 80.0, 30.0"
"Red Rice with Pineapple Curry, Green Pea Curry, Seer Fish Curry","Red rice, Pineapple,  Coconut milk,  Spices, Green pea,  Coconut milk,  Chillies, Seer fish","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Jackfruit Curry, Spinach Curry, Indian Fish Curry","Red rice, Jackfruit,  Coconut milk, curry leaves, Spinach,  Coconut milk,  Spices, Fish,  chillies","40, 15.0, 40.0, 5.0, 30.0, 40.0, 30.0, 60.0, 10.0"
"Red Rice with Parippu, Tomato Curry, Fish Patties","Red rice, Dhal,  Coconut milk, Termeric powder, Tomato,  Chillies, Fish,  Flour,  Oil","40, 10.0, 35.0, 5.0, 50.0, 10.0, 40.0, 30.0, 30.0"
"Red Rice with Bottle Gourd Curry, Dry Fish Curry, Ulundu Wade","Red rice, Bottle gourd,  Coconut milk,  Chillies, Dry fish,  Coconut milk,  Chillies, Urad,  flour,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 40.0, 20.0"
"Red Rice with Dhal Curry, Sesame Seed Sambol, Simmered Fish Roe","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Sesame seed,  Chili,  Onion, Fish,  Oil,  flour","40, 80.0, 10.0, 5.0, 5.0, 50.0, 25.0, 10.0, 70.0, 30.0, 20.0"
"Red Rice with Egg Curry, Collard Greens Curry, Pineapple Pickle","Red rice, Egg,  Coconut milk,  Chillies, Collard greens,  Chillies, Pineapple,  pepper","40, 50.0, 50.0, 10.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Green Gram Curry, Dry Fish Curry, Shrimp Cutlets","Red rice, Green gram,  Coconut milk,  Spices, Dry fish,  Coconut milk,  Chillies, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 30.0, 50.0, 20.0"
"Red Rice with Ulundu Wade, Carrot curry, Shrimp Cutlets","Red rice, Urad,  flour,  Oil, Carrot,  Coconut milk,  chillies, curry leaves, Shrimp,  Potatoes,  flour","40, 30.0, 40.0, 20.0, 50.0, 20.0, 10.0, 5.0, 30.0, 50.0, 20.0"
"Red Rice with Banana Blossom Curry, Cabbage Mallung, Batu Moju","Red rice, Banana blossom,  Coconut milk,  Spices, Cabbage, Eggplant,  garlic","40, 20.0, 20.0, 10.0, 20.0, 70.0, 15.0"
"Red Rice with Pol Sambol, Cabbage Mallung, Bean Curry","Red rice, Coconut,  Chili,  Onion, Lime, Garlic, Cabbage,  Spices, Beans","40, 100.0, 5.0, 10.0, 3.0, 3.0, 20.0, 35.0, 30.0"
"Red Rice with Brinjal Moju, Pineapple Curry, Bitter Leaf Curry","Red rice, Eggplant,  Vinegar,  Spices, Pineapple,  Coconut milk,  Spices, Bitter leaves,  Chillies","40, 30.0, 40.0, 30.0, 50.0, 50.0, 10.0, 50.0, 10.0"
"Red Rice with Carrot Curry, Okra Curry, Jaffna Crab Curry","Red rice, Carrot,  Coconut milk,  Spices, Okra,  Coconut milk,  Chillies, Crab","40, 50.0, 20.0, 5.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Cuttlefish Curry, Carrot curry, Dhal Vade","Red rice, Cuttlefish,  Coconut milk,  Spices, Carrot,  chillies, curry leaves, Lentils,  Oil","40, 50.0, 45.0, 10.0, 50.0, 25.0, 5.0, 50.0, 30.0"
"Red Rice with Chickpea Curry, Green Banana Curry, Maalu Badun","Red rice, Chickpea,  Coconut milk,  Chillies, Green banana,  Coconut milk,  Chillies, Fish,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0, 90.0, 15.0"
"Red Rice with Mint Sambol, Seeni Sambol, Mango Chutney","Red rice, Mint,  Coconut,  pepper, Onion,  Sugar,  chillii, Mango,  Vinegar","40, 60.0, 30.0, 5.0, 50.0, 15.0, 5.0, 40.0, 10.0"
"Red Rice with Bitter Leaf Curry, Beef Curry, Seeni Sambol","Red rice, Bitter leaves,  Coconut milk,  Chillies, Beef,  Coconut milk, Onion,  Sugar","40, 50.0, 25.0, 25.0, 60.0, 25.0, 50.0, 5.0"
"Red Rice with Dry Fish Curry, Carrot Sambol, Pineapple Pickle","Red rice, Dry fish,  Coconut milk,  Chillies, Carrot,  pepper, Pineapple","40, 50.0, 35.0, 10.0, 50.0, 15.0, 50.0"
"Red Rice with Devilled Chicken, Fenugreek Curry, Gotu Kola Sambol","Red rice, Chicken,  Chili,  Curry leaves, Onion, Fenugreek,  Coconut milk, Gotu Kola,  Coconut","40, 50.0, 15.0, 10.0, 35.0, 50.0, 25.0, 10.0, 15.0"
"Red Rice with Jackfruit Curry, Cuttlefish Curry, Spinach Curry","Red rice, Jackfruit,  Coconut milk, curry leaves, Cuttlefish,  Spices, Spinach,  Coconut milk","40, 15.0, 35.0, 5.0, 50.0, 40.0, 30.0, 40.0"
"Red Rice with Chicken Curry, Bathala Curry, Pumpkin curry","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Sweet potato,  Coconut milk, Pumpkin,  chillies","40, 50.0, 20.0, 10.0, 11.0, 50.0, 40.0, 60.0, 10.0"
"Red Rice with Fish Curry, Bottle Gourd Curry, Sesame Seed Sambol","Red rice, Fish,  Coconut milk,  Spices, curry leaves, Bottle gourd,  Chillies, Sesame seed,  Onion","40, 50.0, 45.0, 3.0, 2.0, 50.0, 35.0, 50.0, 10.0"
"Red Rice with Malu Mirisata, Tapioca Chips, Tender Jackfruit Fry","Red rice, Fish,  Chili,  curry leaves, Tapioca,  Oil,  Salt, Jackfruit,  Oil","40, 50.0, 10.0, 3.0, 50.0, 20.0, 10.0, 90.0, 20.0"
"Red Rice with Devilled Chicken, Pineapple Curry, Bitter Leaf Curry","Red rice, Chicken,  Chili,  Curry leaves, Onion, Pineapple,  Coconut milk,  Spices, Bitter leaves","40, 50.0, 15.0, 10.0, 20.0, 50.0, 50.0, 10.0, 50.0"
"Red Rice with Chickpea Curry, Spicy Crab, Devilled Beef","Red rice, Chickpea,  Coconut milk,  Chillies, Crab,  Oil,  chillies, Beef","40, 50.0, 25.0, 10.0, 70.0, 50.0, 15.0, 80.0"
"Red Rice with Eggplant Curry, Pumpkin curry, Batu Moju","Red rice, Eggplant,  Spices,  Coconut milk, Pumpkin,  chillies, curry leaves,  garlic","40, 100.0, 2.0, 30.0, 60.0, 10.0, 5.0, 15.0"
"Red Rice with Egg Curry, Beef Curry, Carrot Sambol","Red rice, Egg,  Coconut milk,  Chillies, Beef, Carrot,  pepper","40, 50.0, 60.0, 20.0, 60.0, 50.0, 5.0"
"Red Rice with Thalapath Fish Curry, Cashew Curry, Pumpkin Leaves Curry","Red rice, Thalapath fish,  Coconut milk,  Spices, Cashew,  Coconut milk,  Chillies, Pumpkin leaves","40, 50.0, 25.0, 10.0, 50.0, 50.0, 20.0, 50.0"
"Red Rice with Green Gram Curry, Fish Cutlets, Indian Fish Curry","Red rice, Green gram,  Coconut milk,  Spices, Fish,  Potatoes,  Chillies,  chillies","40, 50.0, 55.0, 10.0, 90.0, 50.0, 10.0, 10.0"
"Red Rice with Bitter Leaf Curry, Sweet Corn Curry, Fish Patties","Red rice, Bitter leaves,  Coconut milk,  Chillies, Sweet corn,  Coconut milk, Fish,  Flour,  Oil","40, 50.0, 25.0, 20.0, 50.0, 25.0, 40.0, 30.0, 30.0"
"Red Rice with Bitter Leaf Curry, Beef Curry, Shrimp Cutlets","Red rice, Bitter leaves,  Coconut milk,  Chillies, Beef,  Coconut milk, Shrimp,  Potatoes,  flour","40, 50.0, 25.0, 20.0, 60.0, 25.0, 30.0, 50.0, 20.0"
"Red Rice with Chickpea Curry, Bottle Gourd Curry, Tender Jackfruit Fry","Red rice, Chickpea,  Coconut milk,  Chillies, Bottle gourd,  Chillies, Jackfruit,  Oil","40, 50.0, 50.0, 10.0, 50.0, 10.0, 90.0, 20.0"
"Red Rice with Elumas Curry, Devilled Chicken, Devilled Fish","Red rice, Goat,  Coconut milk,  Spices, curry leaves, Chicken,  Chili, Onion, Fish","40, 50.0, 20.0, 5.0, 17.0, 50.0, 10.0, 40.0, 50.0"
"Red Rice with Bottle Gourd Curry, Fish Patties, Fish Cutlets","Red rice, Bottle gourd,  Coconut milk,  Chillies, Fish,  Flour,  Oil, Fish,  Potatoes,  Chillies","40, 50.0, 25.0, 10.0, 40.0, 30.0, 30.0, 30.0, 50.0, 10.0"
"Red Rice with Cashew Curry, Pineapple Pickle, Cauliflower Pickle","Red rice, Cashew,  Coconut milk,  Chillies, Pineapple,  pepper, Cauliflower,  Oil,  Garlic","40, 50.0, 25.0, 10.0, 50.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Dhal Curry, Kiri Hodi, Jackfruit Mallum","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Jackfruit","40, 80.0, 100.0, 5.0, 5.0, 60.0"
"Red Rice with Sweet Corn Curry, Vegetable Cutlets, Chickpea Salad","Red rice, Sweet corn,  Coconut milk,  Chillies, Carrot,  Potatoes,  Chillies, Chickpeas,  Cabbage","40, 50.0, 25.0, 10.0, 60.0, 40.0, 10.0, 60.0, 30.0"
"Red Rice with Gotu Kola Sambol, Green Banana Curry, Kiri Hodi","Red rice, Gotu Kola,  Coconut,  Onion, Green banana,  Coconut milk,  Chillies","40, 10.0, 75.0, 15.0, 50.0, 25.0, 10.0"
"Red Rice with Devilled Fish, Carrot Curry, Bitter Gourd Curry","Red rice, Fish,  Chili,  Curry leaves, Onion, Carrot,  Coconut milk,  Spices, Bitter gourd","40, 50.0, 5.0, 5.0, 20.0, 50.0, 45.0, 15.0, 50.0"
"Red Rice with Brinjal Moju, Pineapple Curry, Cauliflower Pickle","Red rice, Eggplant,  Vinegar,  Spices, Pineapple,  Coconut milk,  Spices, Cauliflower,  Oil,  Garlic","40, 30.0, 40.0, 30.0, 50.0, 25.0, 10.0, 100.0, 50.0, 20.0"
"Red Rice with Brinjal Moju, Bitter Gourd Curry, Ginger Chicken","Red rice, Eggplant,  Vinegar,  Spices, Bitter gourd,  Coconut milk,  Spices, Chicken,  Ginger,  Chillies","40, 30.0, 40.0, 30.0, 50.0, 25.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Tomato Curry, potatoe cheese Balls, Beetroot curry","Red rice, Tomato,  Coconut milk,  Chillies, cheese,  Potatoes,  pepper, Beetroot,  chillies, curry leaves","40, 50.0, 55.0, 10.0, 30.0, 60.0, 10.0, 70.0, 10.0, 10.0"
"Red Rice with Potato Curry, Ash Plantain Curry, Mustard Greens Curry","Red rice, Potato,  Coconut milk,  Spices, curry leaves, Turmeric Powder, Ash plantain,  Chillies, Mustard greens,  Coconut milk,  Chillies","40, 20.0, 55.0, 10.0, 5.0, 2.0, 50.0, 10.0, 50.0, 25.0, 10.0"
"Red Rice with Dhal Curry, Bottle Gourd Curry, Beef Curry","Red rice, Dhal,  Coconut milk,  Spices, Termeric powder, Bottle gourd,  Chillies, Beef,  Coconut milk","40, 80.0, 35.0, 5.0, 5.0, 50.0, 20.0, 60.0, 25.0"
"Red Rice with Bitter Gourd Curry, Prawn Curry, Devilled Beef","Red rice, Bitter gourd,  Coconut milk,  Spices, Prawn,  Coconut milk,  Chillies, Beef,  Oil","40, 50.0, 25.0, 10.0, 50.0, 25.0, 15.0, 80.0, 30.0"
"Red Rice with Beetroot Curry, Bean Curry, Sweet Corn Curry","Red rice, Beetroot,  Coconut milk,  Spices, curry leaves, Beans, Sweet corn,  Coconut milk,  Chillies","40, 30.0, 60.0, 35.0, 2.0, 30.0, 50.0, 25.0, 10.0"
"Red Rice with Snake Gourd Curry, Green Gram Curry, Fish Patties","Red rice, Snake gourd,  Coconut milk,  Spices, Green gram, Fish,  Flour,  Oil","40, 50.0, 50.0, 20.0, 50.0, 40.0, 30.0, 30.0"
"Red Rice with Tapioca Chips, Carrot Sambol, Seeni Sambol","Red rice, Tapioca,  Oil,  Salt, Carrot,  Coconut,  pepper, Onion,  Sugar,  chillii","40, 50.0, 20.0, 10.0, 50.0, 10.0, 5.0, 50.0, 5.0, 5.0"
"Red Rice with Cuttlefish Curry, Pineapple Curry, Kappa Masala","Red rice, Cuttlefish,  Coconut milk,  Spices, Pineapple, Cassava","40, 50.0, 75.0, 20.0, 50.0, 60.0"
"Red Rice with Chicken Curry, Drumstick Curry, Seeni Sambol","Red rice, Chicken,  Coconut milk,  Spices, curry leaves, Drumstick,  Coconut milk, Onion,  Sugar,  chillii","40, 50.0, 20.0, 10.0, 3.0, 50.0, 20.0, 50.0, 5.0, 5.0"
"Red Rice with Bathala Curry, Leeks Curry, Kochchi Sambol","Red rice, Sweet potato,  Coconut milk,  Spices, curry leaves, Leeks,  Coconut milk,  Chillies","40, 50.0, 50.0, 5.0, 3.0, 50.0, 25.0, 20.0"
"Red Rice with Devilled Fish, Drumstick Curry, Seeni Sambol","Red rice, Fish,  Chili,  Curry leaves, Onion, Drumstick,  Coconut milk,  Spices,  Sugar","40, 50.0, 10.0, 5.0, 70.0, 50.0, 20.0, 5.0, 5.0"
"Red Rice with Fish Ambul Thiyal, Potato Curry, Polos Ambula","Red rice, Fish,  Goraka,  Spices, Potato,  Coconut milk, curry leaves, Turmeric Powder, Jackfruit,  chillies","40, 80.0, 10.0, 20.0, 20.0, 60.0, 15.0, 2.0, 80.0, 10.0"
"Red Rice with Cuttlefish Curry, Coriander Sambol, Kochchi Sambol","Red rice, Cuttlefish,  Coconut milk,  Spices,  pepper, Green chili","40, 50.0, 85.0, 70.0, 5.0, 10.0"
"Red Rice with Drumstick Curry, Lotus Root Curry, Gotu Kola Sambol","Red rice, Drumstick,  Coconut milk,  Spices, Lotus root,  Coconut milk,  Chillies, Gotu Kola,  Onion","40, 50.0, 35.0, 5.0, 50.0, 25.0, 10.0, 10.0, 15.0"
"Red Rice with Thalapath Fish Curry, Fish Cutlets, Vegetable Cutlets","Red rice, Thalapath fish,  Coconut milk,  Spices, Fish,  Potatoes,  Chillies, Carrot","40, 50.0, 25.0, 10.0, 30.0, 90.0, 20.0, 30.0"
"Red Rice with Banana Blossom Curry, Sweet Corn Curry, Jackfruit Mallum","Red rice, Banana blossom,  Coconut milk,  Spices, Sweet corn,  Coconut milk,  Chillies, Jackfruit","40, 20.0, 40.0, 5.0, 50.0, 25.0, 10.0, 60.0"
